Motzkin-RealCertify,Robinson-RealCertify
0.022000,0.022000
0.036000,0.021000
0.021000,0.020000
0.021000,0.021000
0.024000,0.036000
0.023000,0.023000
0.022000,0.022000
0.022000,0.035000
0.021000,0.021000
0.021000,0.022000
0.022000,0.022000
0.035000,0.021000
0.022000,0.022000
0.022000,0.022000
0.036000,0.021000
0.021000,0.021000
0.021000,0.021000
0.022000,0.036000
0.021000,0.021000
0.022000,0.022000
0.022000,0.037000
0.021000,0.021000
0.022000,0.023000
0.022000,0.022000
0.037000,0.021000
0.022000,0.021000
0.022000,0.022000
0.022000,0.036000
0.021000,0.022000
0.021000,0.022000
0.023000,0.038000
0.021000,0.021000
0.022000,0.021000
0.022000,0.022000
0.038000,0.021000
0.022000,0.022000
0.022000,0.022000
0.040000,0.023000
0.022000,0.022000
0.022000,0.021000
0.022000,0.022000
0.023000,0.043000
0.022000,0.021000
0.022000,0.049000
0.021000,0.048000
0.022000,0.049000
0.047000,0.048000
0.022000,0.048000
0.022000,0.048000
0.022000,0.048000
0.047000,0.048000
0.022000,0.047000
0.022000,0.048000
0.022000,0.072000
0.023000,0.047000
0.022000,0.048000
0.022000,0.048000
0.022000,0.076000
0.022000,0.047000
0.021000,0.048000
0.022000,0.048000
0.023000,0.076000
0.021000,0.047000
0.021000,0.047000
0.022000,0.049000
0.022000,0.077000
0.021000,0.047000
0.022000,0.048000
0.051000,0.049000
0.077000,0.048000
0.048000,0.049000
0.049000,0.088000
0.051000,0.049000
0.050000,0.049000
0.076000,0.051000
0.049000,0.048000
0.052000,0.051000
0.080000,-
0.054000,-
0.051000,-
0.051000,-
0.050000,-
0.051000,-
0.051000,-
0.050000,-
0.052000,-
0.104000,-
0.050000,-
0.052000,-
0.052000,-
0.050000,-
0.051000,-
0.050000,-
0.051000,-
0.052000,-
0.051000,-
0.051000,-
0.106000,-
0.050000,-
0.052000,-
0.050000,-
0.051000,-
0.052000,-
0.050000,-
0.052000,-
0.103000,-
0.050000,-
0.052000,-
0.101000,-
0.050000,-
0.051000,-
0.052000,-
0.051000,-
0.052000,-
0.051000,-
0.051000,-
0.104000,-
0.050000,-
0.051000,-
0.105000,-
0.051000,-
0.052000,-
0.051000,-
0.050000,-
0.051000,-
0.049000,-
0.051000,-
0.053000,-
0.051000,-
0.052000,-
0.104000,-
0.053000,-
0.052000,-
0.050000,-
0.051000,-
0.051000,-
0.050000,-
0.051000,-
0.052000,-
0.051000,-
0.052000,-
0.107000,-
0.050000,-
0.051000,-
0.052000,-
0.051000,-
0.052000,-
0.049000,-
0.051000,-
0.051000,-
0.051000,-
0.051000,-
0.108000,-
0.051000,-
0.053000,-
0.109000,-
0.051000,-
0.052000,-
0.050000,-
0.051000,-
0.053000,-
0.051000,-
0.053000,-
0.053000,-
0.051000,-
0.052000,-
0.111000,-
0.051000,-
0.053000,-
0.109000,-
0.051000,-
0.053000,-
0.051000,-
0.051000,-
0.054000,-
0.051000,-
0.052000,-
0.053000,-
0.051000,-
0.053000,-
0.111000,-
0.050000,-
0.052000,-
0.106000,-
0.051000,-
0.051000,-
0.050000,-
0.051000,-
0.052000,-
0.051000,-
0.052000,-
0.053000,-
0.051000,-
0.052000,-
0.101000,-
0.051000,-
0.053000,-
0.110000,-
0.051000,-
0.052000,-
0.052000,-
0.051000,-
0.053000,-
0.052000,-
0.052000,-
0.052000,-
0.051000,-
0.051000,-
0.053000,-
0.052000,-
0.052000,-
0.110000,-
0.051000,-
0.052000,-
0.109000,-
0.098000,-
0.157000,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
-,-
