Motzkin-RealCertify,Robinson-RealCertify
0.068000,0.054000
0.059000,0.072000
0.057000,0.077000
0.057000,0.058000
0.072000,0.057000
0.074000,0.056000
0.063000,0.073000
0.057000,0.076000
0.057000,0.058000
0.073000,0.057000
0.077000,0.057000
0.059000,0.075000
0.057000,0.076000
0.061000,0.058000
0.076000,0.057000
0.079000,0.057000
0.059000,0.059000
0.083000,0.057000
0.059000,0.058000
0.083000,0.061000
0.059000,0.059000
0.084000,0.058000
0.059000,0.060000
0.073000,0.095000
0.059000,0.060000
0.060000,0.061000
0.094000,0.060000
0.061000,0.061000
0.061000,0.062000
0.094000,0.060000
0.064000,0.061000
0.062000,0.096000
0.059000,0.060000
0.062000,0.061000
0.096000,0.058000
0.059000,0.061000
0.062000,0.062000
0.098000,0.059000
0.060000,0.061000
0.062000,0.097000
0.059000,0.059000
0.061000,0.061000
0.098000,0.058000
0.060000,0.060000
0.063000,0.098000
0.059000,0.058000
0.060000,0.061000
0.062000,0.098000
0.059000,0.060000
0.061000,0.062000
0.099000,0.059000
0.060000,0.063000
0.062000,0.099000
0.059000,0.059000
0.060000,0.062000
0.064000,0.059000
0.060000,0.061000
0.061000,0.061000
0.101000,0.062000
0.060000,0.061000
0.062000,0.104000
0.059000,0.059000
0.063000,0.061000
0.146000,0.197000
0.141000,0.136000
0.197000,0.138000
0.138000,0.198000
0.139000,0.138000
0.200000,0.136000
0.138000,0.198000
0.140000,0.139000
0.139000,0.199000
0.142000,0.139000
0.199000,0.139000
0.138000,0.198000
0.140000,0.138000
0.200000,0.141000
0.139000,0.203000
0.138000,0.138000
0.202000,0.138000
0.141000,0.207000
0.137000,0.138000
0.141000,0.196000
0.142000,0.139000
0.201000,0.140000
0.140000,0.202000
0.140000,0.137000
0.203000,0.139000
0.139000,0.204000
0.140000,0.139000
0.204000,0.140000
0.139000,0.204000
0.137000,0.137000
0.206000,0.138000
0.139000,0.196000
0.141000,0.138000
0.139000,0.210000
0.143000,0.140000
0.208000,0.139000
0.139000,0.206000
0.144000,0.138000
0.206000,0.138000
0.139000,0.208000
0.141000,0.138000
0.205000,0.137000
0.139000,0.213000
0.138000,0.141000
0.140000,0.202000
0.141000,0.139000
0.211000,0.139000
0.139000,0.142000
0.209000,0.139000
0.139000,0.142000
0.213000,0.141000
0.138000,0.207000
0.140000,0.138000
0.143000,0.214000
0.141000,0.139000
0.156000,0.234000
0.142000,0.137000
0.140000,0.228000
0.139000,0.137000
0.142000,0.222000
0.139000,0.137000
0.139000,0.140000
0.217000,0.139000
0.139000,0.142000
0.223000,0.139000
0.140000,0.138000
0.222000,0.137000
0.137000,0.140000
0.226000,0.139000
0.138000,0.138000
0.143000,0.215000
0.141000,0.140000
0.140000,0.222000
0.140000,0.137000
0.141000,0.226000
0.139000,0.136000
0.141000,0.221000
0.138000,0.138000
0.139000,0.140000
0.214000,0.141000
0.140000,0.143000
0.221000,0.139000
0.138000,0.140000
0.224000,0.139000
0.137000,0.139000
0.222000,0.140000
0.141000,0.140000
0.141000,0.213000
0.140000,0.141000
0.141000,0.220000
0.139000,0.137000
0.140000,0.228000
0.141000,0.137000
0.140000,0.223000
0.138000,0.137000
0.140000,0.142000
0.221000,0.140000
0.138000,0.140000
0.219000,0.138000
0.138000,0.140000
0.225000,0.137000
0.137000,0.138000
0.223000,0.137000
0.137000,0.137000
0.141000,0.223000
0.140000,0.138000
0.141000,0.225000
0.138000,0.138000
0.141000,0.221000
0.140000,0.137000
0.139000,0.218000
0.141000,0.137000
0.143000,0.141000
0.218000,0.139000
0.137000,0.140000
0.223000,0.140000
0.137000,0.139000
0.226000,0.138000
0.139000,0.142000
0.142000,0.220000
0.141000,0.137000
0.141000,0.227000
0.139000,0.138000
0.140000,0.220000
0.140000,0.137000
0.140000,0.222000
0.138000,0.136000
0.141000,0.141000
0.220000,0.138000
0.138000,0.144000
0.225000,0.139000
0.137000,0.139000
0.222000,0.139000
0.140000,0.141000
0.223000,0.137000
0.138000,0.138000
0.144000,0.221000
0.141000,0.137000
0.141000,0.220000
0.138000,0.136000
0.141000,0.229000
0.138000,0.137000
0.140000,0.220000
0.140000,0.135000
0.139000,0.141000
0.218000,0.139000
0.138000,0.140000
0.222000,0.139000
0.138000,0.140000
0.226000,0.138000
0.136000,0.139000
